ID or #		Start	End	Type	Contig
gene1161		1195060	1196358	complete	NODE_6_length_356231_cov_9.759612:124358-125656
gene1162		1196707	1197291	complete	NODE_6_length_356231_cov_9.759612:126005-126589
gene1163		1197542	1198816	complete	NODE_6_length_356231_cov_9.759612:126840-128114
gene1164		1198985	1199137	complete	NODE_6_length_356231_cov_9.759612:128283-128435
gene1165		1199129	1201354	complete	NODE_6_length_356231_cov_9.759612:128427-130652
gene1166		1201564	1201836	complete	NODE_6_length_356231_cov_9.759612:130862-131134
gene1167		1202051	1203925	complete	NODE_6_length_356231_cov_9.759612:131349-133223
gene1168		1204074	1204442	complete	NODE_6_length_356231_cov_9.759612:133372-133740
gene1169		1204554	1204955	complete	NODE_6_length_356231_cov_9.759612:133852-134253
gene1182		1217684	1218091	partial	NODE_6_length_356231_cov_9.759612:147269-147390
gene1192		1226129	1227361	complete	NODE_6_length_356231_cov_9.759612:155430-156662
gene1193		1227424	1228731	complete	NODE_6_length_356231_cov_9.759612:156725-158032
gene1194		1228742	1229593	complete	NODE_6_length_356231_cov_9.759612:158043-158894
gene1195		1229598	1230800	complete	NODE_6_length_356231_cov_9.759612:158899-160101
gene1210		1241191	1244337	partial	NODE_6_length_356231_cov_9.759612:171120-173639
gene1211		1244360	1245553	complete	NODE_6_length_356231_cov_9.759612:173662-174855
gene1212		1245696	1246346	complete	NODE_6_length_356231_cov_9.759612:174998-175648
gene1213		1246476	1249823	complete	NODE_6_length_356231_cov_9.759612:175778-179125
gene1214		1249859	1250758	partial	NODE_6_length_356231_cov_9.759612:179161-179265,NODE_6_length_356231_cov_9.759612:179278-180072
gene1215		1250826	1250999	complete	NODE_6_length_356231_cov_9.759612:180140-180313
gene1216		1251012	1251539	complete	NODE_6_length_356231_cov_9.759612:180326-180853
gene1217		1251609	1251986	complete	NODE_6_length_356231_cov_9.759612:180923-181300
gene1218		1252137	1252688	complete	NODE_6_length_356231_cov_9.759612:181451-182002
gene1219		1252850	1254052	partial	NODE_6_length_356231_cov_9.759612:182164-183353
gene1220		1254081	1254689	complete	NODE_6_length_356231_cov_9.759612:183394-184002
gene1221		1254747	1255079	complete	NODE_6_length_356231_cov_9.759612:184060-184392
gene1222		1255079	1255684	complete	NODE_6_length_356231_cov_9.759612:184392-184997
gene1223		1255796	1257670	complete	NODE_6_length_356231_cov_9.759612:185110-186984
gene1224		1257893	1258537	complete	NODE_6_length_356231_cov_9.759612:187207-187851
gene1225		1258666	1259628	complete	NODE_6_length_356231_cov_9.759612:187980-188942
gene1226		1259692	1260996	complete	NODE_6_length_356231_cov_9.759612:189006-190310
gene1227		1261032	1262708	complete	NODE_6_length_356231_cov_9.759612:190346-192022
gene1228		1262677	1262799	complete	NODE_6_length_356231_cov_9.759612:191991-192113
gene1229		1262820	1262933	complete	NODE_6_length_356231_cov_9.759612:192134-192247
gene1230		1262934	1264154	partial	NODE_6_length_356231_cov_9.759612:192248-193452
gene1231		1264450	1266102	complete	NODE_6_length_356231_cov_9.759612:193738-195390
gene1232		1266208	1266687	complete	NODE_6_length_356231_cov_9.759612:195496-195975
gene1233		1266890	1267684	complete	NODE_6_length_356231_cov_9.759612:196178-196972
gene1234		1267816	1270371	complete	NODE_6_length_356231_cov_9.759612:197104-199659
gene1235		1270498	1270833	complete	NODE_6_length_356231_cov_9.759612:199786-200121
gene1236		1270830	1271288	complete	NODE_6_length_356231_cov_9.759612:200118-200576
gene1237		1271285	1272202	complete	NODE_6_length_356231_cov_9.759612:200573-201490
gene1238		1272343	1273020	complete	NODE_6_length_356231_cov_9.759612:201631-202308
gene1239		1273007	1273789	complete	NODE_6_length_356231_cov_9.759612:202295-203077
gene1240		1273897	1274751	complete	NODE_6_length_356231_cov_9.759612:203185-204039
gene1241		1274810	1275619	complete	NODE_6_length_356231_cov_9.759612:204098-204907
gene1242		1275609	1276232	complete	NODE_6_length_356231_cov_9.759612:204897-205520
gene1243		1276203	1276889	complete	NODE_6_length_356231_cov_9.759612:205491-206177
gene1244		1276886	1279300	complete	NODE_6_length_356231_cov_9.759612:206174-208588
gene1245		1279277	1279390	complete	NODE_6_length_356231_cov_9.759612:208565-208678
gene1246		1279482	1280627	complete	NODE_6_length_356231_cov_9.759612:208770-209915
gene1247		1280735	1281811	complete	NODE_6_length_356231_cov_9.759612:210023-211099
gene1248		1281923	1282990	complete	NODE_6_length_356231_cov_9.759612:211211-212278
gene1249		1282987	1283496	complete	NODE_6_length_356231_cov_9.759612:212275-212784
gene1250		1283593	1283931	complete	NODE_6_length_356231_cov_9.759612:212881-213219
gene1251		1284039	1284761	complete	NODE_6_length_356231_cov_9.759612:213327-214049
gene1252		1284765	1285259	complete	NODE_6_length_356231_cov_9.759612:214053-214547
gene1253		1285435	1286820	complete	NODE_6_length_356231_cov_9.759612:214723-216108
gene1254		1286863	1287075	complete	NODE_6_length_356231_cov_9.759612:216151-216363
gene1255		1287077	1287943	complete	NODE_6_length_356231_cov_9.759612:216365-217231
gene1256		1288282	1288358	complete	NODE_6_length_356231_cov_9.759612:217570-217646
gene1257		1288374	1289537	complete	NODE_6_length_356231_cov_9.759612:217662-218825
gene1273		1298383	1298676	partial	NODE_6_length_356231_cov_9.759612:229623-229907
gene1274		1298673	1299179	partial	NODE_6_length_356231_cov_9.759612:229904-230091
gene1282		1304679	1304755	complete	NODE_6_length_356231_cov_9.759612:236887-236963
gene1293		1312490	1313497	partial	NODE_6_length_356231_cov_9.759612:244317-244990
gene1319		1339913	1340314	complete	NODE_6_length_356231_cov_9.759612:280283-280684
gene1320		1340393	1340563	complete	NODE_6_length_356231_cov_9.759612:280763-280933
gene1321		1340888	1341028	complete	NODE_6_length_356231_cov_9.759612:281258-281398
gene1322		1341074	1342378	complete	NODE_6_length_356231_cov_9.759612:281444-282748
gene1323		1342431	1342736	complete	NODE_6_length_356231_cov_9.759612:282801-283106
gene1324		1342714	1343376	complete	NODE_6_length_356231_cov_9.759612:283084-283746
gene1325		1343848	1344408	complete	NODE_6_length_356231_cov_9.759612:284218-284778
gene1326		1344467	1345162	complete	NODE_6_length_356231_cov_9.759612:284837-285532
gene1327		1345173	1347608	complete	NODE_6_length_356231_cov_9.759612:285543-287978
gene1328		1347610	1348635	complete	NODE_6_length_356231_cov_9.759612:287980-289005
gene1329		1348658	1349524	complete	NODE_6_length_356231_cov_9.759612:289028-289894
gene1330		1350035	1350955	complete	NODE_6_length_356231_cov_9.759612:290405-291325
gene1331		1351056	1351328	complete	NODE_6_length_356231_cov_9.759612:291426-291698
gene1332		1351621	1353189	complete	NODE_6_length_356231_cov_9.759612:291991-293559
gene1333		1353555	1354889	complete	NODE_6_length_356231_cov_9.759612:293925-295259
gene1334		1354972	1357119	complete	NODE_6_length_356231_cov_9.759612:295342-297489
gene1335		1357179	1358654	complete	NODE_6_length_356231_cov_9.759612:297549-299024
gene1336		1358986	1360503	complete	NODE_6_length_356231_cov_9.759612:299356-300873
gene1337		1360580	1361005	partial	NODE_6_length_356231_cov_9.759612:301528-301946
gene1338		1361577	1362497	complete	NODE_6_length_356231_cov_9.759612:302518-303438
gene1339		1362494	1363666	complete	NODE_6_length_356231_cov_9.759612:303435-304607
gene1340		1363676	1364707	complete	NODE_6_length_356231_cov_9.759612:304617-305648
gene1341		1365091	1366098	complete	NODE_6_length_356231_cov_9.759612:305893-306900
gene1342		1366200	1367219	complete	NODE_6_length_356231_cov_9.759612:307002-308021
gene1343		1367649	1368572	complete	NODE_6_length_356231_cov_9.759612:308451-309374
gene1344		1368605	1370089	complete	NODE_6_length_356231_cov_9.759612:309407-310891
gene1345		1370109	1371131	complete	NODE_6_length_356231_cov_9.759612:310911-311933
gene1346		1371137	1371274	complete	NODE_6_length_356231_cov_9.759612:311939-312076
gene1347		1371315	1371923	complete	NODE_6_length_356231_cov_9.759612:312117-312725
gene1348		1371971	1372981	complete	NODE_6_length_356231_cov_9.759612:312773-313783
gene1349		1373005	1374405	complete	NODE_6_length_356231_cov_9.759612:313807-315207
gene1350		1374405	1375775	complete	NODE_6_length_356231_cov_9.759612:315207-316577
gene1351		1375880	1377397	complete	NODE_6_length_356231_cov_9.759612:316682-318199
gene1352		1377562	1378485	complete	NODE_6_length_356231_cov_9.759612:318364-319287
gene1353		1378504	1378623	complete	NODE_6_length_356231_cov_9.759612:319306-319425
gene1354		1378724	1379365	complete	NODE_6_length_356231_cov_9.759612:319526-320167
gene1355		1379501	1379845	complete	NODE_6_length_356231_cov_9.759612:320303-320647
gene1356		1379845	1380987	complete	NODE_6_length_356231_cov_9.759612:320647-321789
gene1357		1381028	1381825	complete	NODE_6_length_356231_cov_9.759612:321830-322627
gene1358		1381822	1382850	complete	NODE_6_length_356231_cov_9.759612:322624-323652
gene1359		1382912	1384030	complete	NODE_6_length_356231_cov_9.759612:323714-324832
gene1360		1384122	1384241	complete	NODE_6_length_356231_cov_9.759612:324924-325043
gene1361		1384302	1384691	complete	NODE_6_length_356231_cov_9.759612:325104-325493
gene1362		1384860	1385315	complete	NODE_6_length_356231_cov_9.759612:325662-326117
gene1363		1385380	1385505	complete	NODE_6_length_356231_cov_9.759612:326182-326307
gene1365		1385821	1386999	complete	NODE_6_length_356231_cov_9.759612:326989-328167
gene1366		1387019	1387795	complete	NODE_6_length_356231_cov_9.759612:328187-328963
gene1372		1394617	1395300	complete	NODE_6_length_356231_cov_9.759612:332814-333497
gene1373		1395418	1396590	complete	NODE_6_length_356231_cov_9.759612:333615-334787
gene1374		1396607	1397722	complete	NODE_6_length_356231_cov_9.759612:334804-335919
gene1375		1397729	1398322	complete	NODE_6_length_356231_cov_9.759612:335926-336519
gene1376		1398300	1399799	complete	NODE_6_length_356231_cov_9.759612:336497-337996
gene1377		1400172	1400537	complete	NODE_6_length_356231_cov_9.759612:338369-338734
gene1378		1400551	1401852	complete	NODE_6_length_356231_cov_9.759612:338748-340049
gene1379		1402002	1403495	complete	NODE_6_length_356231_cov_9.759612:340199-341692
gene1380		1403891	1404973	complete	NODE_6_length_356231_cov_9.759612:342088-343170
gene1381		1405033	1407231	complete	NODE_6_length_356231_cov_9.759612:343230-345428
gene1382		1407339	1408715	complete	NODE_6_length_356231_cov_9.759612:345536-346912
gene1383		1408904	1410109	complete	NODE_6_length_356231_cov_9.759612:347101-348306
gene1384		1410126	1411148	complete	NODE_6_length_356231_cov_9.759612:348323-349345
gene1385		1411150	1412301	complete	NODE_6_length_356231_cov_9.759612:349347-350498
gene1386		1412321	1412737	complete	NODE_6_length_356231_cov_9.759612:350518-350934
gene1397		1422288	1423268	complete	NODE_6_length_356231_cov_9.759612:351236-352216
gene1398		1423272	1424516	complete	NODE_6_length_356231_cov_9.759612:352220-353464
gene1399		1424587	1426014	complete	NODE_6_length_356231_cov_9.759612:353535-354962
gene1400		1426123	1426989	complete	NODE_6_length_356231_cov_9.759612:355071-355937
gene1401		1427655	1428689	partial	NODE_12_length_196820_cov_8.472076:196558-195546
gene1410		1436457	1437110	complete	NODE_12_length_196820_cov_8.472076:194417-193764
gene1411		1437230	1437598	complete	NODE_12_length_196820_cov_8.472076:193644-193276
gene1412		1437595	1438179	partial	NODE_12_length_196820_cov_8.472076:193279-193130,NODE_12_length_196820_cov_8.472076:193129-192791
gene1413		1438359	1439474	complete	NODE_12_length_196820_cov_8.472076:192611-191496
gene1414		1439505	1439846	complete	NODE_12_length_196820_cov_8.472076:191465-191124
gene1415		1439864	1440112	complete	NODE_12_length_196820_cov_8.472076:191106-190858
gene1416		1440488	1440622	complete	NODE_12_length_196820_cov_8.472076:190482-190348
gene1417		1440615	1443338	complete	NODE_12_length_196820_cov_8.472076:190355-187632
gene1418		1443391	1444470	complete	NODE_12_length_196820_cov_8.472076:187579-186500
gene1419		1444484	1447576	complete	NODE_12_length_196820_cov_8.472076:186486-183394
gene1422		1449374	1450093	complete	NODE_12_length_196820_cov_8.472076:182625-181906
gene1423		1450141	1451256	complete	NODE_12_length_196820_cov_8.472076:181858-180743
gene1424		1451378	1452286	partial	NODE_12_length_196820_cov_8.472076:173345-172463
gene1425		1452411	1453745	complete	NODE_12_length_196820_cov_8.472076:172338-171004
gene1426		1453742	1455205	complete	NODE_12_length_196820_cov_8.472076:171007-169544
gene1427		1455447	1456298	complete	NODE_12_length_196820_cov_8.472076:169302-168451
gene1428		1456346	1456987	complete	NODE_12_length_196820_cov_8.472076:168403-167762
gene1429		1457002	1457667	complete	NODE_12_length_196820_cov_8.472076:167747-167082
gene1430		1457660	1458421	complete	NODE_12_length_196820_cov_8.472076:167089-166328
gene1431		1458475	1459239	complete	NODE_12_length_196820_cov_8.472076:166274-165510
gene1432		1459420	1460757	complete	NODE_12_length_196820_cov_8.472076:165329-163992
gene1434		1461493	1462197	complete	NODE_12_length_196820_cov_8.472076:162769-162065
gene1435		1462184	1463020	complete	NODE_12_length_196820_cov_8.472076:162078-161242
gene1436		1463013	1463846	complete	NODE_12_length_196820_cov_8.472076:161249-160416
gene1437		1463846	1464868	complete	NODE_12_length_196820_cov_8.472076:160416-159394
gene1438		1464988	1466556	complete	NODE_12_length_196820_cov_8.472076:159274-157706
gene1439		1466762	1467457	partial	NODE_12_length_196820_cov_8.472076:157500-156814
gene1440		1467578	1469242	complete	NODE_12_length_196820_cov_8.472076:153839-152175
gene1441		1469256	1470728	complete	NODE_12_length_196820_cov_8.472076:152161-150689
gene1442		1470742	1471329	complete	NODE_12_length_196820_cov_8.472076:150675-150088
gene1443		1471458	1473491	complete	NODE_12_length_196820_cov_8.472076:149959-147926
gene1444		1473537	1473983	complete	NODE_12_length_196820_cov_8.472076:147880-147434
gene1445		1474208	1474627	complete	NODE_12_length_196820_cov_8.472076:147209-146790
gene1446		1474660	1475463	complete	NODE_12_length_196820_cov_8.472076:146757-145954
gene1447		1475460	1476353	complete	NODE_12_length_196820_cov_8.472076:145957-145064
gene1448		1476352	1476465	complete	NODE_12_length_196820_cov_8.472076:145065-144952
gene1449		1476607	1477212	complete	NODE_12_length_196820_cov_8.472076:144810-144205
gene1450		1477265	1478050	complete	NODE_12_length_196820_cov_8.472076:144152-143367
gene1451		1478251	1479048	complete	NODE_12_length_196820_cov_8.472076:143166-142369
gene1452		1479109	1479393	complete	NODE_12_length_196820_cov_8.472076:142308-142024
gene1453		1479395	1480177	complete	NODE_12_length_196820_cov_8.472076:142022-141240
gene1454		1480195	1481739	complete	NODE_12_length_196820_cov_8.472076:141222-139678
gene1455		1481741	1482361	complete	NODE_12_length_196820_cov_8.472076:139676-139056
gene1456		1482405	1483340	complete	NODE_12_length_196820_cov_8.472076:139012-138077
gene1457		1483500	1485020	complete	NODE_12_length_196820_cov_8.472076:137917-136397
gene1458		1485369	1486319	complete	NODE_12_length_196820_cov_8.472076:136048-135098
gene1459		1486694	1487524	complete	NODE_12_length_196820_cov_8.472076:134723-133893
gene1460		1487517	1488452	partial	NODE_12_length_196820_cov_8.472076:133900-133390
gene1461		1488504	1489127	partial	NODE_12_length_196820_cov_8.472076:132768-132299
gene1462		1489194	1491422	complete	NODE_12_length_196820_cov_8.472076:132232-130004
gene1463		1491682	1492890	complete	NODE_12_length_196820_cov_8.472076:129744-128536
gene1464		1492918	1493121	complete	NODE_12_length_196820_cov_8.472076:128508-128305
gene1465		1493132	1497013	complete	NODE_12_length_196820_cov_8.472076:128294-124413
gene1466		1497078	1497872	complete	NODE_12_length_196820_cov_8.472076:124348-123554
gene1467		1497869	1498861	complete	NODE_12_length_196820_cov_8.472076:123557-122565
gene1468		1498858	1499865	complete	NODE_12_length_196820_cov_8.472076:122568-121561
gene1469		1499978	1501219	complete	NODE_12_length_196820_cov_8.472076:121448-120207
gene1470		1501480	1502439	complete	NODE_12_length_196820_cov_8.472076:119732-118773
gene1471		1502628	1503803	complete	NODE_12_length_196820_cov_8.472076:118585-117410
gene1472		1503813	1505420	complete	NODE_12_length_196820_cov_8.472076:117400-115793
gene1473		1505434	1506285	complete	NODE_12_length_196820_cov_8.472076:115779-114928
gene1474		1506285	1507040	partial	NODE_12_length_196820_cov_8.472076:114928-114738
gene1476		1507811	1509916	complete	NODE_12_length_196820_cov_8.472076:113268-111163
gene1477		1510021	1510218	complete	NODE_12_length_196820_cov_8.472076:111058-110861
gene1478		1510215	1510619	complete	NODE_12_length_196820_cov_8.472076:110864-110460
gene1479		1510594	1510896	complete	NODE_12_length_196820_cov_8.472076:110485-110183
gene1480		1511080	1511823	complete	NODE_12_length_196820_cov_8.472076:109999-109256
gene1481		1511881	1512969	complete	NODE_12_length_196820_cov_8.472076:109198-108110
gene1482		1513133	1514635	complete	NODE_12_length_196820_cov_8.472076:107946-106444
gene1483		1514632	1515630	complete	NODE_12_length_196820_cov_8.472076:106447-105449
gene1484		1515651	1516715	complete	NODE_12_length_196820_cov_8.472076:105428-104364
gene1485		1516821	1518062	complete	NODE_12_length_196820_cov_8.472076:104258-103017
gene1488		1519725	1520924	complete	NODE_12_length_196820_cov_8.472076:102677-101478
gene1489		1521026	1522054	complete	NODE_12_length_196820_cov_8.472076:101376-100348
gene1490		1522115	1523383	complete	NODE_12_length_196820_cov_8.472076:100287-99019
gene1491		1523409	1524767	complete	NODE_12_length_196820_cov_8.472076:98992-97634
gene1492		1524878	1525687	complete	NODE_12_length_196820_cov_8.472076:97523-96714
gene1493		1525809	1526759	complete	NODE_12_length_196820_cov_8.472076:96592-95642
gene1494		1526906	1528144	partial	NODE_12_length_196820_cov_8.472076:95496-94744,NODE_12_length_196820_cov_8.472076:94739-94258
gene1495		1528141	1529376	complete	NODE_12_length_196820_cov_8.472076:94261-93026
gene1496		1529373	1530635	complete	NODE_12_length_196820_cov_8.472076:93029-91767
gene1497		1531086	1531694	complete	NODE_12_length_196820_cov_8.472076:91315-90707
gene1498		1531707	1533203	complete	NODE_12_length_196820_cov_8.472076:90694-89198
gene1499		1533200	1534228	complete	NODE_12_length_196820_cov_8.472076:89201-88173
gene1500		1534271	1535212	complete	NODE_12_length_196820_cov_8.472076:88137-87196
gene1501		1535224	1536228	complete	NODE_12_length_196820_cov_8.472076:87184-86180
gene1502		1536225	1537073	complete	NODE_12_length_196820_cov_8.472076:86183-85335
gene1503		1537210	1538712	complete	NODE_12_length_196820_cov_8.472076:85197-83695
gene1504		1538757	1539737	complete	NODE_12_length_196820_cov_8.472076:83650-82670
gene1505		1540146	1542455	complete	NODE_12_length_196820_cov_8.472076:82258-79949
gene1506		1542563	1543105	complete	NODE_12_length_196820_cov_8.472076:79841-79299
gene1507		1543102	1543791	complete	NODE_12_length_196820_cov_8.472076:79302-78613
gene1514		1550049	1551614	partial	NODE_12_length_196820_cov_8.472076:72354-71832,NODE_12_length_196820_cov_8.472076:71828-70789
gene1523		1557990	1558196	complete	NODE_12_length_196820_cov_8.472076:64413-64207
gene1540		1574616	1576409	partial	NODE_12_length_196820_cov_8.472076:47340-45983
gene1541		1576475	1578145	complete	NODE_12_length_196820_cov_8.472076:45917-44247
gene1542		1578160	1578276	complete	NODE_12_length_196820_cov_8.472076:44232-44116
gene1543		1578519	1579244	complete	NODE_12_length_196820_cov_8.472076:43873-43148
gene1544		1579244	1579918	complete	NODE_12_length_196820_cov_8.472076:43148-42474
gene1545		1579918	1580658	complete	NODE_12_length_196820_cov_8.472076:42474-41734
gene1546		1580823	1581734	complete	NODE_12_length_196820_cov_8.472076:41569-40658
gene1547		1582089	1583627	complete	NODE_12_length_196820_cov_8.472076:40303-38765
gene1548		1583753	1584700	complete	NODE_12_length_196820_cov_8.472076:38639-37692
gene1549		1584779	1585252	complete	NODE_12_length_196820_cov_8.472076:37613-37140
gene1550		1585249	1586295	complete	NODE_12_length_196820_cov_8.472076:37143-36097
gene1551		1586449	1587873	complete	NODE_12_length_196820_cov_8.472076:35943-34519
gene1552		1588053	1589228	complete	NODE_12_length_196820_cov_8.472076:34339-33164
gene1553		1589348	1589422	complete	NODE_12_length_196820_cov_8.472076:33044-32970
gene1554		1589498	1589572	complete	NODE_12_length_196820_cov_8.472076:32894-32820
gene1555		1589620	1589696	complete	NODE_12_length_196820_cov_8.472076:32772-32696
gene1556		1589720	1589794	complete	NODE_12_length_196820_cov_8.472076:32672-32598
gene1557		1589831	1589905	complete	NODE_12_length_196820_cov_8.472076:32561-32487
gene1558		1589929	1590013	complete	NODE_12_length_196820_cov_8.472076:32463-32379
gene1559		1590022	1590098	complete	NODE_12_length_196820_cov_8.472076:32370-32294
gene1560		1590336	1592000	complete	NODE_12_length_196820_cov_8.472076:32056-30392
gene1561		1592279	1593031	complete	NODE_12_length_196820_cov_8.472076:30113-29361
gene1562		1593148	1594368	complete	NODE_12_length_196820_cov_8.472076:29244-28024
gene1563		1594377	1595525	complete	NODE_12_length_196820_cov_8.472076:28015-26867
gene1564		1595639	1596439	complete	NODE_12_length_196820_cov_8.472076:26753-25953
gene1565		1596754	1598709	complete	NODE_12_length_196820_cov_8.472076:25638-23683
gene1566		1598888	1600555	complete	NODE_12_length_196820_cov_8.472076:23504-21837
gene1567		1600609	1600917	complete	NODE_12_length_196820_cov_8.472076:21783-21475
gene1568		1600991	1602394	complete	NODE_12_length_196820_cov_8.472076:21401-19998
gene1569		1602442	1602774	complete	NODE_12_length_196820_cov_8.472076:19950-19618
gene1570		1603391	1603843	complete	NODE_12_length_196820_cov_8.472076:14521-14069
gene1571		1604135	1604665	complete	NODE_12_length_196820_cov_8.472076:13777-13247
gene1572		1604817	1605110	complete	NODE_12_length_196820_cov_8.472076:13095-12802
gene1573		1605244	1605960	complete	NODE_12_length_196820_cov_8.472076:12668-11952
gene1574		1605987	1606103	complete	NODE_12_length_196820_cov_8.472076:11925-11809
gene1575		1606201	1606749	complete	NODE_12_length_196820_cov_8.472076:11711-11163
gene1576		1606782	1608422	complete	NODE_12_length_196820_cov_8.472076:11130-9490
gene1577		1608477	1608914	complete	NODE_12_length_196820_cov_8.472076:9435-8998
gene1578		1608896	1609573	complete	NODE_12_length_196820_cov_8.472076:9016-8339
gene1579		1609570	1612257	complete	NODE_12_length_196820_cov_8.472076:8342-5655
gene1580		1612258	1612833	complete	NODE_12_length_196820_cov_8.472076:5654-5079
gene1581		1612844	1614892	complete	NODE_12_length_196820_cov_8.472076:5068-3020
gene1582		1614913	1616592	complete	NODE_12_length_196820_cov_8.472076:2999-1320
gene1583		1616988	1617197	complete	NODE_12_length_196820_cov_8.472076:924-715
gene1584		1617381	1618823	partial	NODE_12_length_196820_cov_8.472076:531-1
gene1595		1626965	1628248	complete	NODE_14_length_153665_cov_8.989794:146382-145099
gene1596		1629018	1629293	complete	NODE_14_length_153665_cov_8.989794:144329-144054
gene1597		1629287	1629634	complete	NODE_14_length_153665_cov_8.989794:144060-143713
gene1598		1629604	1629768	complete	NODE_14_length_153665_cov_8.989794:143743-143579
gene1599		1629748	1631400	complete	NODE_14_length_153665_cov_8.989794:143599-141947
gene1600		1631416	1632132	complete	NODE_14_length_153665_cov_8.989794:141931-141215
gene1603		1636666	1637832	complete	NODE_14_length_153665_cov_8.989794:136514-135348
gene1604		1637832	1638701	complete	NODE_14_length_153665_cov_8.989794:135348-134479
gene1606		1639526	1641094	complete	NODE_14_length_153665_cov_8.989794:133652-132084
gene1607		1641110	1642249	complete	NODE_14_length_153665_cov_8.989794:132068-130929
gene1609		1642381	1642671	partial	NODE_14_length_153665_cov_8.989794:130650-130384
gene1610		1642958	1643152	complete	NODE_14_length_153665_cov_8.989794:130097-129903
gene1611		1643222	1643914	complete	NODE_14_length_153665_cov_8.989794:129833-129141
gene1612		1643918	1644346	complete	NODE_14_length_153665_cov_8.989794:129137-128709
gene1613		1644446	1645768	partial	NODE_14_length_153665_cov_8.989794:128609-128475,NODE_14_length_153665_cov_8.989794:127862-127272
gene1614		1645898	1647190	complete	NODE_14_length_153665_cov_8.989794:127142-125850
gene1615		1647225	1647749	complete	NODE_14_length_153665_cov_8.989794:125815-125291
gene1616		1647759	1648553	partial	NODE_14_length_153665_cov_8.989794:125281-124964,NODE_14_length_153665_cov_8.989794:124957-124481
gene1617		1648715	1648790	complete	NODE_14_length_153665_cov_8.989794:124319-124244
gene1618		1648916	1648991	complete	NODE_14_length_153665_cov_8.989794:124118-124043
gene1620		1649219	1649294	complete	NODE_14_length_153665_cov_8.989794:123912-123837
gene1621		1649298	1649373	complete	NODE_14_length_153665_cov_8.989794:123833-123758
gene1622		1649520	1649595	complete	NODE_14_length_153665_cov_8.989794:123502-123427
gene1628		1652976	1653341	partial	NODE_14_length_153665_cov_8.989794:119951-119739
gene1629		1653656	1654708	complete	NODE_14_length_153665_cov_8.989794:119424-118372
gene1630		1654782	1655534	complete	NODE_14_length_153665_cov_8.989794:118298-117546
gene1631		1655826	1656869	complete	NODE_14_length_153665_cov_8.989794:117255-116212
gene1632		1656863	1658014	complete	NODE_14_length_153665_cov_8.989794:116218-115067
gene1633		1658014	1659060	complete	NODE_14_length_153665_cov_8.989794:115067-114021
gene1634		1659070	1660086	complete	NODE_14_length_153665_cov_8.989794:114011-112995
gene1637		1660919	1661767	partial	NODE_14_length_153665_cov_8.989794:112019-111313
gene1639		1662777	1662926	complete	NODE_14_length_153665_cov_8.989794:110303-110154
gene1640		1663069	1663842	complete	NODE_14_length_153665_cov_8.989794:110011-109238
gene1641		1663842	1664531	complete	NODE_14_length_153665_cov_8.989794:109238-108549
gene1642		1664534	1665592	complete	NODE_14_length_153665_cov_8.989794:108546-107488
gene1643		1665593	1666411	partial	NODE_14_length_153665_cov_8.989794:107487-107189
gene1686		1706625	1707731	partial	NODE_14_length_153665_cov_8.989794:58155-57050
gene1687		1707861	1708994	complete	NODE_14_length_153665_cov_8.989794:56920-55787
gene1688		1708984	1710723	complete	NODE_14_length_153665_cov_8.989794:55797-54058
gene1689		1710716	1711711	complete	NODE_14_length_153665_cov_8.989794:54065-53070
gene1690		1711711	1712070	complete	NODE_14_length_153665_cov_8.989794:53070-52711
gene1694		1713783	1715114	complete	NODE_14_length_153665_cov_8.989794:50994-49663
gene1695		1715165	1715914	complete	NODE_14_length_153665_cov_8.989794:49612-48863
gene1696		1715928	1716773	complete	NODE_14_length_153665_cov_8.989794:48849-48004
gene1697		1716773	1717003	partial	NODE_14_length_153665_cov_8.989794:48004-47805
gene1699		1717979	1719334	complete	NODE_14_length_153665_cov_8.989794:46796-45441
gene1700		1719522	1721690	partial	NODE_14_length_153665_cov_8.989794:45253-43115
gene1701		1721720	1722688	complete	NODE_14_length_153665_cov_8.989794:43067-42099
gene1702		1722798	1723058	complete	NODE_14_length_153665_cov_8.989794:41990-41730
gene1703		1723344	1723610	complete	NODE_14_length_153665_cov_8.989794:41444-41178
gene1704		1723631	1723891	complete	NODE_14_length_153665_cov_8.989794:41157-40897
gene1705		1724031	1724645	complete	NODE_14_length_153665_cov_8.989794:40757-40143
gene1706		1724742	1725431	partial	NODE_14_length_153665_cov_8.989794:40046-39526
gene1709		1727965	1728687	complete	NODE_14_length_153665_cov_8.989794:36823-36101
gene1710		1728684	1729343	complete	NODE_14_length_153665_cov_8.989794:36104-35445
gene1711		1729469	1730215	complete	NODE_14_length_153665_cov_8.989794:35319-34573
gene1715		1732604	1733116	partial	NODE_14_length_153665_cov_8.989794:31803-31647
gene1716		1733207	1734787	partial	NODE_14_length_153665_cov_8.989794:31556-31193
gene1722		1739425	1740240	complete	NODE_14_length_153665_cov_8.989794:24201-23386
gene1723		1740539	1741453	partial	NODE_14_length_153665_cov_8.989794:22334-22171
gene1724		1741526	1743094	complete	NODE_14_length_153665_cov_8.989794:22098-20530
gene1737		1761230	1762150	complete	NODE_14_length_153665_cov_8.989794:2520-1600
gene1738		1762152	1763063	complete	NODE_14_length_153665_cov_8.989794:1598-687
gene1739		1763585	1764910	complete	NODE_11_length_214047_cov_8.768119:213560-212235
gene1745		1771315	1772517	complete	NODE_11_length_214047_cov_8.768119:206948-205746
